Ensembl_Gene_ID;Moyenne_CPM_WT;Moyenne_CPM_WT_treated;Moyenne_CPM_Disease;Moyenne_CPM_Rescue;Pvalue_Patho;Pvalue_Rescue;Ref_Utilisee;Log2FC_Patho;Log2FC_Rescue;Significatif_Patho;Significatif_Rescue
ENSMUSG00000061039;0.3403201694850338;0.7284576758566939;0.8384368744301764;0.8845716403272889;0.0031175637476084;0.8020818411344464;WT;1.0917067724925158;0.0692364817213938;OUI;NON
ENSMUSG00000061878;1.2089637497960453;7.824520296350019;2.519797046138871;8.643919663825388;0.032815925400627;0.0787253444688055;WT;1.0010299074045408;1.7388250945700143;OUI;NON
ENSMUSG00000062054;2.873058031759163;7.496557491665778;6.440826489897823;8.94478049753622;0.001130194463019;0.2645422557340061;WT;1.1375253204205922;0.4676125471372536;OUI;NON
ENSMUSG00000062070;13.310089210298848;16.438179739994773;27.60870907179025;23.10499201451343;0.0012574290506832;0.1202509392094892;WT;1.0470206635241226;-0.255904297256318;OUI;NON
ENSMUSG00000062619;5.500781868874656;6.40894915234342;13.369425923562424;12.900439724827992;0.0001738704597965;0.6523148075426175;WT;1.2659882169308614;-0.05112794186074;OUI;NON
ENSMUSG00000062647;4.785142266365991;7.426820872928754;11.036345345251618;10.415693754114624;0.0035246368948982;0.4917515727041348;WT;1.1888033734435954;-0.0827318234585079;OUI;NON
ENSMUSG00000062694;43.52714325610761;41.21081363140485;105.91035770720887;72.07484028661244;0.0119170073590826;0.0523059805429663;WT;1.280907316746826;-0.5546373146366779;OUI;NON
ENSMUSG00000062997;2.1674468594238903;2.6773556299661974;4.954045309727865;4.385960452752203;0.0057537933732106;0.5038918573709803;WT;1.1563698584530897;-0.1720216961663331;OUI;NON
ENSMUSG00000063193;0.2672796318447907;0.8599874452404127;0.8373855309325653;0.6113146207130847;0.0290316916715892;0.4058327397722674;WT;1.3517636351585332;-0.3981547084734232;OUI;NON
ENSMUSG00000063455;0.6150767843741213;2.760225192531649;1.4378004154279895;2.460407469170013;0.0034266668327959;0.2356538235757528;WT;1.1046982034360384;0.735505148124641;OUI;NON
ENSMUSG00000063931;18.92392161940281;19.59527165931908;39.32855375249783;35.3629102032244;0.005292997917083;0.3793736560908969;WT;1.051426116913736;-0.1529298596619829;OUI;NON
ENSMUSG00000064215;16.90368854320591;24.49291180978926;35.00648724993932;29.8252386858588;0.0291921286981145;0.3925445222895616;WT;1.045889909115106;-0.2303748933279743;OUI;NON
ENSMUSG00000064307;1.270739484451614;1.8646866394193864;2.997229637305856;2.409596825114132;0.0076388019173142;0.1748319498947397;WT;1.1760239463152895;-0.3035227432964639;OUI;NON
ENSMUSG00000066278;4.096153927129634;5.8721846874103125;8.559976817512382;11.06268998280596;0.0225567419875038;0.2305933125333427;WT;1.045295561771844;0.3662496614064242;OUI;NON
