Ensembl_Gene_ID;Moyenne_CPM_WT;Moyenne_CPM_WT_treated;Moyenne_CPM_Disease;Moyenne_CPM_Rescue;Pvalue_Patho;Pvalue_Rescue;Ref_Utilisee;Log2FC_Patho;Log2FC_Rescue;Significatif_Patho;Significatif_Rescue
ENSMUSG00000073590;1.2606930997487367;1.3883032037001324;0.8071867322878016;1.0745604065604626;0.01309881975156973;0.12089252368719097;WT treated;-1.062443165367706;0.5477618157994675;OUI;NON
ENSMUSG00000073684;1.7319704140059864;2.270476809016284;6.659420156537718;3.0493993049243353;1.3579734294206582e-08;2.2100980113957494e-08;WT treated;1.2831455440271258;-0.9962947590469433;OUI;OUI
ENSMUSG00000073730;0.9182026195224833;0.8346433573360935;3.206199784123381;1.1685015764943736;0.0014979463226028578;0.006054874482459491;WT treated;1.6621720601127428;-1.3088759446464744;OUI;OUI
ENSMUSG00000073975;0.05479396441925269;0.031254752675828765;0.34200719073911473;0.08908004319964967;0.036191548166859565;0.02458136946930938;WT treated;3.1333535924552365;-1.8019672775697437;OUI;OUI
ENSMUSG00000074001;141.44983817684977;126.47781675348563;365.233940225794;145.6138854711369;1.3838592014529842e-07;3.2735469252266797e-09;WT treated;1.2603439288774645;-1.1965692467305584;OUI;OUI
ENSMUSG00000074217;2.033780804089602;2.3887941451825636;0.8424458507680583;1.4386463604363369;5.129827907095141e-08;0.00767926274170402;WT treated;-1.7806992661335208;0.9087331802808347;OUI;OUI
ENSMUSG00000074575;0.2258880542389411;0.1425611511946682;0.6828411049571423;0.12861960227647087;0.03799763145013147;0.0012946775816512254;WT treated;1.9710056776702831;-2.2676394887074998;OUI;OUI
ENSMUSG00000074657;0.5289583805114372;0.22644232534455633;0.8915278942981927;0.7606756214120315;0.0029747435463371077;0.8629271466410204;WT treated;1.7131310369645925;-0.09507113828956495;OUI;NON
ENSMUSG00000074738;1.3527554071560235;1.7678378830832702;4.377351047889548;1.8947205771998208;0.0005764623125471825;6.269922745690837e-07;WT treated;1.0359582862899404;-1.075612327815473;OUI;OUI
ENSMUSG00000074766;0.4695577319266919;0.27045230812814136;1.0533351131931503;0.39583494964619304;0.005887110323996728;0.009224972807306348;WT treated;1.6806645931026063;-1.2784728641050573;OUI;OUI
ENSMUSG00000074813;0.47326087591531263;0.2851223023893364;1.0599788015200382;0.7958065216585887;0.007298844963138732;0.5947350154847878;WT treated;1.6035580695110074;-0.28355594536581236;OUI;NON
ENSMUSG00000075012;0.570378771322237;0.6356262563604884;1.6287167859298215;0.9048236251254826;0.03865557880780357;0.04387128544661348;WT treated;1.0729642750399282;-0.7187202408020381;OUI;OUI
ENSMUSG00000075122;0.17842289877977982;0.24685661206606757;1.7848809539291188;0.28382098013873697;0.0001514652025164105;2.1050238769138133e-08;WT treated;2.6137188872821433;-2.527769038809997;OUI;OUI
